destinations,city,dutch,latitude,longitude,avg_temp
LCY,London,Londen City,51.5042655,0.05490240133037683,15.45
LTN,London,Londen Luton,51.87810155,-0.36642547440865236,13.88823529411765
LGW,London,Londen Gatwick,51.1541082,-0.18231164991272042,14.881250000000001
LHR,London,Londen Heathrow,51.46773895,-0.4587800741571181,15.396428571428574
BRS,Bristol,Bristol,51.38296995,-2.7186237715618864,13.766666666666667
GVA,Geneva,Geneve,46.23781635,6.108121245519259,16.842857142857145
SZG,Salzburg,Salzburg,47.7934551,13.001830576958724,16.103571428571428
MXP,Milan,Milaan Malpensa,45.629627299999996,8.723547468967393,20.15
BGY,Milan,Milan Bergamo,45.67092965,9.69875557135455,20.46666666666667
LIN,Milan,Milaan Linate,45.44420495,9.277832922158506,20.925
VCE,Venice,Venetie,45.50353855,12.342579681064803,20.62857142857143
NCE,Nice,Nice,43.65980345,7.213736626877628,20.150000000000002
PSA,Pisa,Pisa,43.68479365,10.39552700998277,19.171428571428574
WAW,Warsaw,Warschau,52.16306505,20.970814903702912,16.796428571428574
BCN,Barcelona,Barcelona,41.3828939,2.1774322,20.375000000000004
MAH,Menorca,Mahon,39.86298645,4.220607231805899,20.02857142857143
PMI,Palma Mallorca,Palma,39.553224549999996,2.729030991511172,20.75357142857143
NAP,Naples,Napels,40.8839923,14.284545745409144,20.599999999999998
MAD,Madrid,Madrid,40.4167047,-3.7035825,20.928571428571423
IBZ,Ibiza,Ibiza,38.87294785,1.370372414235323,20.957142857142856
ALC,Alicante,Alicante,38.284417700000006,-0.5657529081106044,21.503571428571433
LIS,Lisbon,Lissabon,38.7809542,-9.131900592219496,19.47037037037037
SVQ,Seville,Sevilla,37.41770265,-5.894928748748175,23.646428571428565
AGP,Malaga,Malaga,36.67854455,-4.499675681372699,21.95714285714286
